theta Angle (-180/180);Phi Angle (0/175 with 5 step); Gain PCD (magnitude); Gain PCD (phase)
-179.012;0.09;-41.11653752;-1.900256048
-178.38;0.09;-39.89919973;27.85170096
-177.336;0.09;-36.97547332;41.88154561
-176.397;0.09;-37.74415811;77.74346739
-175.353;0.09;-37.42784205;105.953598
-174.287;0.09;-34.22893844;137.6660257
-173.376;0.09;-34.54880833;146.9073727
-172.282;0.09;-31.80744899;156.9388168
-171.332;0.09;-31.4801552;173.9051696
-170.332;0.09;-30.03939308;-172.0724212
-169.322;0.09;-28.90719905;-163.1148919
-168.371;0.09;-27.82491577;-154.846964
-167.355;0.09;-26.56267327;-148.0456096
-166.267;0.09;-26.3880237;-139.7279263
-165.334;0.09;-25.50621903;-131.5862039
-164.284;0.09;-24.91512468;-127.182195
-163.323;0.09;-24.04075929;-124.1476406
-162.312;0.09;-24.3413801;-121.8139767
-161.329;0.09;-24.09152056;-116.5257239
-160.296;0.09;-24.4476471;-112.9392378
-159.291;0.09;-24.67263927;-107.3294505
-158.357;0.09;-24.49508817;-107.1086171
-157.336;0.09;-24.25781396;-106.5377551
-156.374;0.09;-23.31391489;-109.676008
-155.237;0.09;-22.41197696;-112.894368
-154.358;0.09;-21.89597916;-116.4859224
-153.298;0.09;-21.73574486;-119.338945
-152.353;0.09;-22.18624565;-118.9008696
-151.348;0.09;-22.40607155;-117.0518947
-150.277;0.09;-22.92228261;-115.5272846
-149.277;0.09;-22.86781856;-111.6001182
-148.332;0.09;-22.57955062;-112.6372283
-147.387;0.09;-22.49601531;-109.3730653
-146.333;0.09;-22.82815597;-107.3110899
-145.366;0.09;-23.04274841;-102.9241467
-144.333;0.09;-23.14460741;-100.4054812
-143.41;0.09;-23.29064639;-102.2826049
-142.339;0.09;-23.39320057;-107.2620239
-141.35;0.09;-23.14889386;-110.162683
-140.351;0.09;-23.2413155;-107.9193889
-139.373;0.09;-22.86323546;-105.3556373
-138.335;0.09;-22.54377381;-97.06990691
-137.368;0.09;-22.45139479;-92.74388899
-136.368;0.09;-22.65189318;-87.93484258
-135.368;0.09;-22.41295804;-78.90673465
-134.325;0.09;-23.07330376;-79.4991344
-133.237;0.09;-23.38033954;-80.79358028
-132.292;0.09;-23.26160936;-84.01518379
-131.331;0.09;-23.57851696;-79.15538502
-130.315;0.09;-22.64236947;-71.14772697
-129.342;0.09;-21.23316771;-70.49943892
-128.326;0.09;-20.62401225;-75.59609539
-127.282;0.09;-20.4295379;-76.43968697
-126.299;0.09;-20.73452799;-79.01010999
-125.299;0.09;-20.95427405;-81.45975691
-124.256;0.09;-20.59448856;-92.2300082
-123.327;0.09;-20.34023154;-94.70000046
-122.295;0.09;-19.26240122;-97.57033893
-121.295;0.09;-18.73111014;-101.0176305
-120.383;0.09;-18.59978281;-98.94649685
-119.334;0.09;-18.60126004;-100.7737346
-118.351;0.09;-19.3588369;-108.2276844
-117.345;0.09;-20.29825755;-115.9185993
-116.291;0.09;-20.73042827;-121.816311
-115.302;0.09;-19.95721323;-122.3300642
-114.275;0.09;-19.01973468;-126.8583165
-113.269;0.09;-18.77255817;-126.9194343
-112.363;0.09;-18.37191405;-127.7581758
-111.292;0.09;-18.7978681;-127.1702862
-110.27;0.09;-19.14177796;-129.3051841
-109.325;0.09;-19.18928235;-131.5366336
-108.287;0.09;-18.76143691;-140.0505835
-107.293;0.09;-17.47548256;-148.5435325
-106.277;0.09;-16.73358735;-154.1958019
-105.348;0.09;-15.94315572;-155.2564043
-104.376;0.09;-15.64300311;-159.8452877
-103.294;0.09;-15.81770502;-166.8310118
-102.387;0.09;-16.12575618;-175.5113875
-101.36;0.09;-16.23160253;173.9903851
-100.273;0.09;-16.11292237;161.804815
-99.344;0.09;-15.94956473;161.6246899
-98.366;0.09;-15.46978927;157.8877079
-97.361;0.09;-15.94671367;160.512724
-96.383;0.09;-15.99272453;160.1270822
-95.219;0.09;-16.66307806;146.6088122
-94.159;0.09;-15.71814879;141.1067212
-93.335;0.09;-15.07067924;130.652199
-92.379;0.09;-14.33751183;123.2567243
-91.341;0.09;-14.09975492;118.1537613
-90.368;0.09;-14.27121556;117.9166502
-89.38;0.09;-14.74764613;111.8786946
-88.336;0.09;-15.64430516;94.18850381
-87.281;0.09;-15.39593304;80.88843067
-86.375;0.09;-14.7082328;81.5126715
-85.32;0.09;-13.98476131;77.80575861
-84.282;0.09;-14.12039342;74.50709196
-83.266;0.09;-13.81921664;68.6857121
-82.326;0.09;-13.93069802;65.92740869
-81.36;0.09;-14.10573794;49.28748582
-80.316;0.09;-13.74943443;37.04643056
-79.355;0.09;-12.85451505;34.16578638
-78.377;0.09;-12.46774354;24.70188838
-77.3;0.09;-12.52468598;18.87013929
-76.344;0.09;-12.97664166;14.90307592
-75.295;0.09;-14.05871215;8.723790763
-74.284;0.09;-14.32109246;-5.712250648
-73.279;0.09;-14.35364986;-17.04236668
-72.34;0.09;-13.29718081;-21.68523374
-71.362;0.09;-12.80615379;-27.45120979
-70.362;0.09;-12.59415559;-28.70962201
-69.368;0.09;-13.24325865;-32.40059205
-68.379;0.09;-13.78878566;-41.74051823
-67.319;0.09;-14.39186782;-70.88694055
-66.374;0.09;-14.42360251;-80.45949012
-65.309;0.09;-13.96496899;-96.20069907
-64.358;0.09;-13.98549378;-105.7489008
-63.309;0.09;-14.48805827;-112.3281584
-62.315;0.09;-15.85810754;-120.2749704
-61.392;0.09;-16.98077634;-130.5763979
-60.315;0.09;-15.93588593;-161.5572687
-59.321;0.09;-14.73448252;-177.7055336
-58.338;0.09;-12.80717411;171.2580792
-57.333;0.09;-11.67730229;159.3135989
-56.289;0.09;-11.29982325;150.7916259
-55.317;0.09;-10.7897156;140.9049516
-54.333;0.09;-9.969745865;127.4510333
-53.273;0.09;-8.076047265;112.5533788
-52.35;0.09;-7.074222731;104.6323325
-51.318;0.09;-5.561849351;98.60743987
-50.318;0.09;-4.693518717;92.06926117
-49.302;0.09;-3.618585027;86.94147027
-48.368;0.09;-2.905986382;82.14269933
-47.384;0.09;-2.307133934;77.04256323
-46.401;0.09;-1.639300131;72.7413682
-45.286;0.09;-0.685740135;65.00592523
-44.27;0.09;-0.064007374;60.26282909
-43.292;0.09;0.326050721;57.81789399
-42.364;0.09;0.758330666;53.43321219
-41.314;0.09;1.234813754;45.93835657
-40.364;0.09;1.54273267;41.63114631
-39.326;0.09;2.05436983778482;36.4521871597166
-38.299;0.09;2.67330986116257;30.1021717962068
-37.299;0.09;3.37387916748521;22.4454526077296
-36.288;0.09;4.05512421899292;17.9912992358867
-35.354;0.09;4.62688606790603;14.0214034910019
-34.371;0.09;5.15484604822987;11.0731678896036
-33.311;0.09;5.69298787672282;8.28012939285543
-32.289;0.09;6.13887324338978;5.29163556669197
-31.377;0.09;6.50548456020455;3.38227152785016
-30.383;0.09;6.79728441921007;1.34449482587042
-29.317;0.09;7.15327701770651;-2.7739705824018
-28.34;0.09;7.43474402001681;-4.75568834771146
-27.3559999999999;0.09;7.71537833586352;-7.38701978293131
-26.384;0.09;8.02631762719745;-9.79137765835057
-25.373;0.09;8.32785259537721;-13.4147944558016
-24.335;0.09;8.60423208093237;-15.4250338936074
-23.357;0.09;8.89149718777548;-17.5885796159961
-22.336;0.09;9.17535712708274;-19.4758804591695
-21.336;0.09;9.43986464297406;-22.3137431365957
-20.3089999999999;0.09;9.69015922951506;-24.2875437133121
-19.342;0.09;9.91073945737167;-25.9752095793117
-18.331;0.09;10.0704650399027;-27.7643692788029
-17.381;0.09;10.2989930139438;-29.1473197554243
-16.282;0.09;10.4974116342149;-30.6454644787529
-15.315;0.09;10.6627144692261;-32.4520449437928
-14.266;0.09;10.8560374168344;-33.6978146074438
-13.3319999999999;0.09;10.9916651852454;-35.1113914233998
-12.322;0.09;11.164206662853;-36.4520699553435
-11.261;0.09;11.2978828328574;-36.7814777520761
-10.399;0.09;11.415786369827;-37.3802815553102
-9.278;0.09;11.5623098191878;-38.5198190505318
-8.279;0.09;11.6577082354899;-38.5084706150252
-7.367;0.09;11.7500258112613;-38.9371492724466
-6.296;0.09;11.8325915264061;-39.1758856688333
-5.257;0.09;11.8973307651319;-39.2654277418681
-4.28;0.09;11.9588520300243;-39.2424196874409
-3.247;0.09;12.0079528727578;-38.687127829792
-2.297;0.09;12.0108319865059;-38.3539569881241
-1.319;0.09;12.0248118670378;-37.781679498966
-0.379;0.09;12.0195759617283;-37.1437982390643
0.663999999999999;0.09;11.9580180231657;-36.2937389842814
1.741;0.09;11.9337441228238;-35.1212980194598
2.713;0.09;11.8842606668791;-34.2551084447646
3.625;0.09;11.778675052285;-32.6166561610715
4.702;0.09;11.7227564309603;-31.8689596503164
5.669;0.09;11.5784092187388;-30.2410173778678
6.641;0.09;11.4729940494604;-28.6919696775432
7.696;0.09;11.2561587338608;-27.6774001102885
8.629;0.09;11.1598188898787;-25.2388890572425
9.679;0.09;10.8526666250425;-23.0956211511581
10.6729999999999;0.09;10.7537008414256;-21.5827173009685
11.6559999999999;0.09;10.5141819819662;-19.272857225585
12.683;0.09;10.2724925586393;-15.9823060645851
13.738;0.09;10.0038382775981;-13.0093837449629
14.65;0.09;9.76603694507948;-10.3145406629991
15.639;0.09;9.50594838546027;-8.24581902218406
16.721;0.09;9.21011735719944;-3.98927646681104
17.66;0.09;8.91962135043041;-0.510879229321757
18.644;0.09;8.64567326687742;2.26555190302203
19.665;0.09;8.35889951299242;4.64477652230808
20.638;0.09;7.97595024660173;9.39815894845715
21.648;0.09;7.55304016131765;12.5233348928584
22.588;0.09;7.21097591010215;15.6727671357867
23.6479999999999;0.09;6.65106262312476;17.7794539206083
24.653;0.09;6.17999728207292;22.4528197338557
25.592;0.09;5.65491580509919;27.1510184009857
26.6639999999999;0.09;5.05255728343848;31.1560266544669
27.685;0.09;4.38995939304772;36.5902840048251
28.674;0.09;3.87937650274252;40.8127803743418
29.602;0.09;3.42879460581552;44.3125979544204
30.652;0.09;2.87290012789695;49.0722500339689
31.64;0.09;2.34427425605395;54.7922956108441
32.657;0.09;1.79041857590119;58.8385530510067
33.7;0.09;1.26258135780479;61.6203099401212
34.684;0.09;0.702940126445845;64.1642275312626
35.705;0.09;0.00210701495316101;66.7230281992806
36.689;0.09;-0.876659890685942;70.2082188189213
37.716;0.09;-1.78714863059393;73.3952298831228
38.705;0.09;-2.48353717832883;75.1304540925481
39.649;0.09;-3.2330708128447;76.7493541817675
40.6;0.09;-3.992510193;80.56611074
41.709;0.09;-4.705405744;81.14263474
42.737;0.09;-5.379640538;82.73208014
43.681;0.09;-6.067833003;81.6600929
44.72;0.09;-7.009604997;83.95836521
45.648;0.09;-7.811382808;83.77329746
46.747;0.09;-9.205847659;85.2889175
47.719;0.09;-10.35028618;89.85065091
48.702;0.09;-11.30679429;94.20600484
49.724;0.09;-11.40730666;97.89849162
50.652;0.09;-10.72881663;101.1906067
51.613;0.09;-9.941703513;100.6582777
52.712;0.09;-8.929443264;100.9758608
53.618;0.09;-8.476302495;102.6502883
54.629;0.09;-8.444715428;103.1834893
55.717;0.09;-8.969002455;108.1958926
56.612;0.09;-9.598387321;114.4079783
57.678;0.09;-9.912959896;123.0136249
58.65;0.09;-9.825749357;132.6482305
59.732;0.09;-9.335742613;138.2833216
60.672;0.09;-8.872732858;140.8337615
61.671;0.09;-8.49560117;143.6824786
62.688;0.09;-8.608156953;145.533877
63.704;0.09;-8.89645955;151.5075327
64.643;0.09;-8.923628877;154.6772687
65.731;0.09;-9.215535909;168.6870385
66.736;0.09;-9.042970249;175.6239531
67.725;0.09;-8.806139699;-175.2857252
68.659;0.09;-8.667964208;-169.428664
69.697;0.09;-8.793472743;-166.0225622
70.691;0.09;-9.377171483;-159.639219
71.609;0.09;-9.507438288;-155.7349237
72.68;0.09;-10.3418924;-145.4962192
73.592;0.09;-10.42316662;-140.8490281
74.707;0.09;-10.23904911;-130.1185695
75.63;0.09;-10.1196414;-129.1646474
76.739;0.09;-10.06448067;-121.1333092
77.706;0.09;-10.25345222;-115.7960419
78.667;0.09;-10.61654341;-109.1373391
79.629;0.09;-10.78956581;-98.84954826
80.672;0.09;-11.34190785;-89.82518568
81.683;0.09;-11.43690153;-82.23121773
82.633;0.09;-11.54476138;-77.03905823
83.628;0.09;-12.02738257;-68.82597272
84.71;0.09;-12.45064253;-62.94930593
85.726;0.09;-12.59073356;-55.99354291
86.621;0.09;-12.84333527;-49.25131603
87.726;0.09;-13.18764511;-39.04015308
88.676;0.09;-13.10226543;-30.70054095
89.637;0.09;-13.28421688;-24.69079899
90.659;0.09;-13.81889591;-14.22842445
91.681;0.09;-14.36659171;-8.872811683
92.658;0.09;-15.12026647;1.124849866
93.675;0.09;-15.95818914;8.076645718
94.713;0.09;-16.18790503;12.92695791
95.691;0.09;-16.65114196;16.61175809
96.707;0.09;-16.57538176;22.74529338
97.69;0.09;-16.75096513;27.46441551
98.701;0.09;-17.04400481;35.13510892
99.635;0.09;-17.44851626;39.75074876
100.695;0.09;-17.44882282;46.49956561
101.717;0.09;-17.46619156;54.88748071
102.7;0.09;-17.6348165;62.44991158
103.595;0.09;-17.67889396;69.65190385
104.661;0.09;-17.8725539;79.16490252
105.71;0.09;-18.28117326;87.10649121
106.688;0.09;-18.67563334;93.13263313
107.737;0.09;-19.5086715;105.119765
108.671;0.09;-19.90031629;111.505675
109.709;0.09;-20.10998433;113.6446152
110.709;0.09;-20.1328673;115.4015019
111.615;0.09;-19.72133508;114.3899952
112.648;0.09;-19.91097092;114.7714192
113.741;0.09;-19.85649223;114.1346718
114.62;0.09;-19.79212976;112.7249412
115.691;0.09;-19.73642252;115.5323175
116.696;0.09;-19.36212278;117.5010071
117.663;0.09;-18.89109424;116.5902803
118.641;0.09;-18.55359158;117.2207199
119.663;0.09;-18.90500953;118.0603914
120.663;0.09;-19.1256381;121.1278006
121.673;0.09;-19.90823916;126.6090969
122.706;0.09;-21.38969263;130.2876277
123.678;0.09;-22.39397558;134.4477579
124.656;0.09;-22.94062962;137.8109273
125.705;0.09;-22.75125731;144.9711518
126.727;0.09;-22.31011919;144.3944408
127.655;0.09;-21.58923049;141.1161194
128.622;0.09;-21.80822926;135.0770861
129.633;0.09;-21.92128225;125.7789996
130.611;0.09;-21.9600073;117.035263
131.594;0.09;-22.80239831;112.6561602
132.632;0.09;-24.09626536;114.699077
133.698;0.09;-25.88449466;121.0689976
134.709;0.09;-26.61738312;124.6397069
135.681;0.09;-25.40070305;130.5618125
136.692;0.09;-24.60453207;130.6636694
137.686;0.09;-23.32752349;128.7196569
138.686;0.09;-22.86815709;125.6714705
139.724;0.09;-22.67188855;119.7907756
140.685;0.09;-22.74340393;114.0611609
141.696;0.09;-23.58658417;113.4983826
142.685;0.09;-24.42736855;118.5601262
143.695;0.09;-24.49195253;126.1365968
144.624;0.09;-24.59510877;132.2392435
145.706;0.09;-24.70299408;137.7789627
146.7;0.09;-24.33625648;128.9509553
147.661;0.09;-24.27371926;120.0559207
148.595;0.09;-23.81610263;110.4234146
149.655;0.09;-23.43540781;104.4657511
150.639;0.09;-22.83378032;98.9399439
151.688;0.09;-23.27951859;101.8025646
152.622;0.09;-23.20264069;101.1741795
153.649;0.09;-23.16475176;101.9703858
154.704;0.09;-23.84617362;99.70794187
155.66;0.09;-24.7709523;97.37313134
156.621;0.09;-26.50672417;94.92660119
157.637;0.09;-27.52459054;102.3840667
158.653;0.09;-28.38426091;108.7389977
159.642;0.09;-29.92541718;113.400681
160.636;0.09;-29.95809492;111.2094961
161.669;0.09;-30.66577487;96.36916513
162.647;0.09;-31.94647425;75.73203712
163.674;0.09;-33.249685;56.98576762
164.685;0.09;-35.61651845;31.35540719
165.679;0.09;-37.06019709;0.309025932
166.607;0.09;-35.71617052;-14.51333063
167.679;0.09;-34.00926624;-18.53249662
168.667;0.09;-33.03254498;-29.86378731
169.634;0.09;-32.94402339;-44.11592348
170.672;0.09;-36.81301972;-87.93186102
171.639;0.09;-40.34384128;-124.5741318
172.633;0.09;-39.05966769;163.7033052
173.721;0.09;-39.74581124;141.3091784
174.622;0.09;-51.16432788;108.413444
175.693;0.09;-44.40098013;-55.29821905
176.698;0.09;-37.00095567;-68.37267887
177.676;0.09;-35.26078859;-76.42110212
178.632;0.09;-35.91823036;-76.71499735
-178.594;5.1;-41.71338363;19.72625842
-177.726;5.1;-38.0868805;36.28755482
-176.721;5.1;-36.15762319;62.16583235
-175.639;5.1;-35.91039419;85.28043112
-174.688;5.1;-36.58021621;117.7227803
-173.678;5.1;-34.50454612;132.230602
-172.618;5.1;-33.22210006;149.6666811
-171.75;5.1;-32.68868412;157.158649
-170.613;5.1;-31.07088671;168.3077833
-169.607;5.1;-29.5809309;-178.1886643
-168.679;5.1;-28.92909551;-164.9190328
-167.663;5.1;-27.9139512;-154.8213206
-166.734;5.1;-28.09307249;-145.7857857
-165.713;5.1;-27.66829524;-140.5129974
-164.702;5.1;-27.64682326;-136.0084395
-163.73;5.1;-27.0468951;-131.0016758
-162.653;5.1;-26.17518747;-132.2200956
-161.626;5.1;-27.02882693;-135.8318163
-160.664;5.1;-27.4309803;-132.4325922
-159.626;5.1;-27.72197152;-132.8899897
-158.681;5.1;-28.00164651;-131.3125185
-157.687;5.1;-27.34595634;-131.3881477
-156.627;5.1;-25.93436265;-128.5348405
-155.704;5.1;-24.55367809;-126.1890594
-154.693;5.1;-23.32670104;-126.2262948
-153.672;5.1;-22.56664649;-127.3175754
-152.694;5.1;-22.57278623;-126.0915997
-151.639;5.1;-22.49633521;-121.299249
-150.65;5.1;-22.53736853;-118.0733534
-149.717;5.1;-22.14595012;-115.5521483
-148.673;5.1;-21.94927235;-113.0078786
-147.684;5.1;-21.96504398;-111.2379428
-146.717;5.1;-22.43889282;-108.2335974
-145.718;5.1;-23.21489526;-106.521146
-144.685;5.1;-23.2353886;-99.7981469
-143.63;5.1;-23.16052976;-100.5673302
-142.619;5.1;-22.64978479;-103.5589329
-141.768;5.1;-22.2859027;-99.7184188
-140.735;5.1;-22.20531805;-90.47141445
-139.642;5.1;-22.39822549;-85.31763575
-138.686;5.1;-22.82230224;-76.51885557
-137.654;5.1;-22.6877549;-70.62516249
-136.654;5.1;-22.99876363;-66.62723473
-135.676;5.1;-23.59168368;-69.96316265
-134.649;5.1;-23.92600114;-76.35120916
-133.682;5.1;-23.52784959;-79.21715754
-132.638;5.1;-22.92673127;-81.6352144
-131.721;5.1;-22.62428946;-86.08036808
-130.716;5.1;-22.94296903;-85.52551683
-129.634;5.1;-22.8423554;-80.51297647
-128.639;5.1;-22.45583073;-81.43624185
-127.678;5.1;-22.08320096;-83.40243014
-126.645;5.1;-21.50165218;-90.64727828
-125.646;5.1;-20.51761617;-94.11877608
-124.618;5.1;-20.13259737;-94.53366865
-123.619;5.1;-20.07161618;-94.31000723
-122.723;5.1;-20.24187286;-88.93510259
-121.707;5.1;-20.21477306;-85.3692182
-120.636;5.1;-20.88684087;-94.61006851
-119.68;5.1;-20.76721989;-95.64570081
-118.642;5.1;-20.19704023;-109.2622335
-117.686;5.1;-19.84623029;-117.7360097
-116.67;5.1;-19.15585792;-116.8323128
-115.61;5.1;-18.58355139;-113.2793561
-114.725;5.1;-18.09742509;-114.4415436
-113.676;5.1;-18.599306;-115.4246336
-112.698;5.1;-19.44543109;-117.2078872
-111.687;5.1;-19.43445124;-124.3578716
-110.666;5.1;-18.75664947;-135.0927173
-109.704;5.1;-17.83185276;-139.2714221
-108.655;5.1;-17.15403155;-140.9172495
-107.628;5.1;-16.9966832;-142.6826821
-106.656;5.1;-16.96881977;-143.753091
-105.683;5.1;-17.41795231;-145.8185054
-104.689;5.1;-17.45269689;-151.2237669
-103.728;5.1;-17.1022003;-160.6213804
-102.668;5.1;-16.24609141;-170.9769779
-101.624;5.1;-15.81059791;-176.8124451
-100.635;5.1;-15.60975517;-177.1882041
-99.674;5.1;-15.84229211;179.6870303
-98.674;5.1;-16.74436065;176.8291065
-97.691;5.1;-17.05263944;166.3848041
-96.68;5.1;-17.16054893;159.3252736
-95.713;5.1;-15.71434599;154.1351386
-94.675;5.1;-14.93637834;151.4506051
-93.675;5.1;-14.10054794;148.4384941
-92.703;5.1;-14.44424402;140.8023469
-91.698;5.1;-14.47417865;134.9880392
-90.621;5.1;-14.83852736;120.6543284
-89.693;5.1;-14.4522561;111.9360327
-88.66;5.1;-14.03493301;103.3158667
-87.633;5.1;-13.57226956;100.5645115
-86.622;5.1;-13.72915164;92.01636819
-85.672;5.1;-14.1223012;90.83886556
-84.705;5.1;-14.63965349;82.63361356
-83.639;5.1;-15.1930548;74.12000267
-82.7;5.1;-14.37984948;67.73094138
-81.656;5.1;-13.84707679;61.41752957
-80.624;5.1;-13.44897903;52.1931663
-79.701;5.1;-13.3249801;54.22980443
-78.69;5.1;-14.18809016;42.41044091
-77.712;5.1;-14.93204642;36.38049374
-76.647;5.1;-15.61247824;22.38326487
-75.575;5.1;-15.53522084;10.47103317
-74.647;5.1;-15.36732006;6.368526512
-73.653;5.1;-15.15788747;2.459267125
-72.724;5.1;-16.23928228;-0.302162452
-71.714;5.1;-16.9977996;-3.321048726
-70.703;5.1;-18.7585822;-15.22064723
-69.725;5.1;-19.39842342;-29.11927896
-68.676;5.1;-19.37236867;-51.75860716
-67.643;5.1;-18.3774837;-70.9559612
-66.621;5.1;-17.94926781;-74.38524236
-65.66;5.1;-19.09426846;-81.60258366
-64.638;5.1;-20.86748083;-99.67181815
-63.71;5.1;-21.52864613;-129.8520656
-62.644;5.1;-18.88218767;-162.0223733
-61.634;5.1;-16.97662234;-178.8624927
-60.722;5.1;-15.59512693;174.5548035
-59.717;5.1;-14.16713204;165.0799476
-58.64;5.1;-13.03482812;153.1066692
-57.618;5.1;-12.66372032;145.4896355
-56.635;5.1;-11.13542022;134.1631371
-55.63;5.1;-9.569627937;123.8304413
-54.613;5.1;-8.006558713;116.1704041
-53.641;5.1;-6.848032304;113.2797996
-52.619;5.1;-6.113908076;107.9405049
-51.697;5.1;-5.217223985;104.1529554
-50.603;5.1;-4.65775115;97.3953693
-49.648;5.1;-3.947759575;91.56795969
-48.664;5.1;-3.121709516;83.62212217
-47.643;5.1;-2.41942688;75.80632121
-46.626;5.1;-1.729727157;69.72674483
-45.66;5.1;-1.240773563;64.85162829
-44.66;5.1;-0.816206033;59.25964728
-43.704;5.1;-0.300793574;54.82440901
-42.699;5.1;0.272273;47.86980702
-41.622;5.1;1.055863144;41.00952623
-40.6;5.1;1.780015789;35.59993582
-39.678;5.1;2.46847050382259;29.7895493758651
-38.584;5.1;3.29886200924663;25.4171486348971
-37.662;5.1;3.91863891955193;21.9859265637435
-36.656;5.1;4.47506479760706;19.2983107085919
-35.58;5.1;5.00518796232745;17.0443878090188
-34.64;5.1;5.40749407727242;14.3404682827477
-33.624;5.1;5.75951202847194;9.25300844004584
-32.58;5.1;6.09857824405635;6.03692254758228
-31.663;5.1;6.33644028367582;2.02622989040105
-30.625;5.1;6.60798370607994;-0.596078774995154
-29.631;5.1;6.92606631197723;-3.6257863229377
-28.5869999999999;5.1;7.217808264047;-7.70167392668745
-27.73;5.1;7.51147343040306;-11.1032175377137
-26.6809999999999;5.1;7.86812690770306;-13.9474396800157
-25.637;5.1;8.1901268518734;-18.7699130915066
-24.703;5.1;8.49405828360447;-21.1802196886118
-23.731;5.1;8.76181643257482;-21.418432510312
-22.72;5.1;9.02666914062926;-23.6420875847571
-21.671;5.1;9.30180549480249;-26.1345679344765
-20.671;5.1;9.52435790291003;-27.1662991693471
-19.71;5.1;9.74295756985363;-29.695921198911
-18.721;5.1;9.95693917581305;-31.3969112277812
-17.672;5.1;10.2009882059582;-33.7464273654445
-16.6609999999999;5.1;10.3958035666398;-35.6469892408334
-15.722;5.1;10.5958761248761;-37.2400730352722
-14.706;5.1;10.7713921138177;-38.4830462163939
-13.7;5.1;10.9501581082083;-40.585175667647
-12.756;5.1;11.106430247432;-40.318094519063
-11.7389999999999;5.1;11.2450798180281;-41.6933547013645
-10.597;5.1;11.4092111001703;-42.5803350544762
-9.707;5.1;11.5402233837605;-42.7654942441947
-8.647;5.1;11.6387996940496;-43.4866095176135
-7.718;5.1;11.7285500397368;-43.6505670979945
-6.686;5.1;11.8162625239834;-44.0518595288932
-5.664;5.1;11.8950547751362;-44.0606134740683
-4.725;5.1;11.9352713952294;-44.0621907566888
-3.741;5.1;11.9961281685101;-43.8413004961091
-2.73;5.1;12.0182269241522;-43.4727652292049
-1.632;5.1;12.0217151298087;-43.1108048022408
-0.621;5.1;12.02690845042;-42.496795596494
0.339999999999999;5.1;12.016213462195;-41.9693675305056
1.378;5.1;11.9486962480964;-41.0901677311925
2.378;5.1;11.9278206986909;-40.1760086943407
3.356;5.1;11.8575398969722;-39.1556065458169
4.372;5.1;11.7341097537516;-37.6033897485678
5.334;5.1;11.6785404586126;-36.8504706938321
6.372;5.1;11.5313198838097;-35.2594881679809
7.372;5.1;11.4176376430067;-33.7175413829952
8.344;5.1;11.2160662955043;-32.0448926767974
9.366;5.1;11.0973225767474;-29.7210128858939
10.321;5.1;10.847588497502;-27.5602892693473
11.354;5.1;10.7122148877564;-25.0842183844689
12.282;5.1;10.4838986861897;-22.4236270077649
13.282;5.1;10.2765748433151;-19.809514242662
14.37;5.1;10.0379075272777;-15.613369744994
15.353;5.1;9.82909031132307;-13.0129213131405
16.287;5.1;9.58361077895013;-9.60835889300347
17.309;5.1;9.33126807174571;-5.76090138578509
18.358;5.1;9.0433306306616;-2.45528075378119
19.3029999999999;5.1;8.76274874517813;-0.14408000426976
20.291;5.1;8.48021240951565;1.83921502287619
21.363;5.1;8.06455839221257;5.37476756188735
22.296;5.1;7.70930616676369;8.88872560126528
23.329;5.1;7.19493757496067;12.7323297302939
24.384;5.1;6.75076463542588;17.4970705417328
25.213;5.1;6.30024392209557;21.6223612615667
26.301;5.1;5.94271989197026;24.1416892722332
27.405;5.1;5.29320030229027;30.8644817915463
28.3879999999999;5.1;4.90891520497884;36.1149038554277
29.284;5.1;4.5663399241202;37.4192511910804
30.371;5.1;4.04191632365812;43.7897432117991
31.305;5.1;3.62981120474854;45.9090484111367
32.332;5.1;2.99999413195435;50.3783547148678
33.305;5.1;2.42041752021802;52.6747204597735
34.31;5.1;1.52457969509367;57.2826486959729
35.365;5.1;0.774875493928384;60.7183959797671
36.282;5.1;-0.0710789037037287;64.7049346536624
37.375;5.1;-1.11641470914463;70.5626199868502
38.309;5.1;-2.01891205458654;75.0349545396026
39.325;5.1;-2.87756530110669;78.3435107258955
40.331;5.1;-3.569560413;82.86640061
41.303;5.1;-4.415517703;83.85193983
42.341;5.1;-5.460989178;87.54261291
43.313;5.1;-6.854645927;89.88621293
44.313;5.1;-8.071090029;92.68915737
45.39;5.1;-9.429782074;99.47901031
46.291;5.1;-9.575530277;102.4894132
47.307;5.1;-9.573663215;106.199004
48.351;5.1;-9.182946963;106.943259
49.339;5.1;-8.961240655;104.1875015
50.301;5.1;-9.090667814;102.8016591
51.399;5.1;-9.597823658;96.0383445
52.366;5.1;-9.989427248;91.60523082
53.267;5.1;-10.64971132;89.84157443
54.338;5.1;-11.42056609;88.45049553
55.338;5.1;-11.61063594;94.31989149
56.338;5.1;-11.39364263;97.79202477
57.37;5.1;-10.70788302;106.6536586
58.255;5.1;-9.746602498;107.7289005
59.276;5.1;-9.321324478;110.1905272
60.375;5.1;-9.230024817;111.3958215
61.342;5.1;-9.50830838;113.311782
62.369;5.1;-9.980435971;119.5398248
63.374;5.1;-10.27775509;128.2683879
64.352;5.1;-10.14958417;137.8936071
65.363;5.1;-9.631746421;143.7768998
66.335;5.1;-9.318173183;149.6142626
67.368;5.1;-9.143033192;152.1957399
68.291;5.1;-9.428891036;158.4230976
69.307;5.1;-9.990228113;164.9460758
70.384;5.1;-10.64534786;173.3239579
